$ python cudf-merge.py         --server         --server-file /scratch/jx00/cw2590/benchmarks-ucx-py/job-out/.server-59538441.gadi-pbs.json         --n-devs-on-net 16         --iter 100         -c 1_000_000
cuDF merge benchmark
--------------------------------------------------------------------------------------------------------------
Number of devices         | 16
Rows per chunk            | 1000000
Total data processed      | 47.68 GiB
Data processed per iter   | 488.28 MiB
==============================================================================================================
Wall-clock                | 5.14 s
Bandwidth                 | 1.06 GiB/s
Throughput                | 9.28 GiB/s
==============================================================================================================
Iteration                 | Wall-clock                | Bandwidth                 | Throughput
0                         | 49.16 ms                  | 1.10 GiB/s                | 9.70 GiB/s
1                         | 49.11 ms                  | 1.08 GiB/s                | 9.71 GiB/s
2                         | 50.43 ms                  | 1.07 GiB/s                | 9.45 GiB/s
3                         | 49.53 ms                  | 1.11 GiB/s                | 9.63 GiB/s
4                         | 48.62 ms                  | 1.09 GiB/s                | 9.81 GiB/s
5                         | 54.15 ms                  | 1.03 GiB/s                | 8.81 GiB/s
6                         | 46.58 ms                  | 1.07 GiB/s                | 10.24 GiB/s
7                         | 52.53 ms                  | 1.05 GiB/s                | 9.08 GiB/s
8                         | 49.35 ms                  | 1.11 GiB/s                | 9.66 GiB/s
9                         | 51.60 ms                  | 1.07 GiB/s                | 9.24 GiB/s
10                        | 47.64 ms                  | 1.09 GiB/s                | 10.01 GiB/s
11                        | 49.48 ms                  | 1.09 GiB/s                | 9.64 GiB/s
12                        | 51.24 ms                  | 1.06 GiB/s                | 9.31 GiB/s
13                        | 47.67 ms                  | 1.08 GiB/s                | 10.00 GiB/s
14                        | 52.54 ms                  | 1.07 GiB/s                | 9.08 GiB/s
15                        | 49.04 ms                  | 1.09 GiB/s                | 9.72 GiB/s
16                        | 48.23 ms                  | 1.11 GiB/s                | 9.89 GiB/s
17                        | 48.45 ms                  | 1.10 GiB/s                | 9.84 GiB/s
18                        | 49.11 ms                  | 1.10 GiB/s                | 9.71 GiB/s
19                        | 51.15 ms                  | 1.06 GiB/s                | 9.32 GiB/s
20                        | 49.02 ms                  | 1.10 GiB/s                | 9.73 GiB/s
21                        | 49.15 ms                  | 1.04 GiB/s                | 9.70 GiB/s
22                        | 51.40 ms                  | 1.10 GiB/s                | 9.28 GiB/s
23                        | 51.13 ms                  | 1.03 GiB/s                | 9.33 GiB/s
24                        | 47.16 ms                  | 1.11 GiB/s                | 10.11 GiB/s
25                        | 52.69 ms                  | 1.05 GiB/s                | 9.05 GiB/s
26                        | 48.23 ms                  | 1.10 GiB/s                | 9.89 GiB/s
27                        | 50.38 ms                  | 1.03 GiB/s                | 9.46 GiB/s
28                        | 50.54 ms                  | 1.10 GiB/s                | 9.43 GiB/s
29                        | 47.74 ms                  | 1.11 GiB/s                | 9.99 GiB/s
30                        | 48.94 ms                  | 1.12 GiB/s                | 9.74 GiB/s
31                        | 49.51 ms                  | 1.10 GiB/s                | 9.63 GiB/s
32                        | 49.12 ms                  | 1.07 GiB/s                | 9.71 GiB/s
33                        | 50.92 ms                  | 1.06 GiB/s                | 9.37 GiB/s
34                        | 48.75 ms                  | 1.12 GiB/s                | 9.78 GiB/s
35                        | 49.30 ms                  | 1.07 GiB/s                | 9.67 GiB/s
36                        | 48.97 ms                  | 1.10 GiB/s                | 9.74 GiB/s
37                        | 49.79 ms                  | 1.10 GiB/s                | 9.58 GiB/s
38                        | 48.05 ms                  | 1.12 GiB/s                | 9.92 GiB/s
39                        | 48.00 ms                  | 1.10 GiB/s                | 9.93 GiB/s
40                        | 119.72 ms                 | 0.97 GiB/s                | 3.98 GiB/s
41                        | 51.99 ms                  | 1.05 GiB/s                | 9.17 GiB/s
42                        | 52.71 ms                  | 1.07 GiB/s                | 9.05 GiB/s
43                        | 48.01 ms                  | 1.04 GiB/s                | 9.93 GiB/s
44                        | 49.76 ms                  | 1.10 GiB/s                | 9.58 GiB/s
45                        | 49.77 ms                  | 1.05 GiB/s                | 9.58 GiB/s
46                        | 52.59 ms                  | 1.02 GiB/s                | 9.07 GiB/s
47                        | 52.11 ms                  | 1.05 GiB/s                | 9.15 GiB/s
48                        | 49.90 ms                  | 1.08 GiB/s                | 9.56 GiB/s
